  8  16  0.7000   32.0    0.0131   1.110e+04  1.414e+03  Anghinolfi:1996vm 
  8  16  0.7000   32.0    0.0639   3.926e+04  2.946e+03  Anghinolfi:1996vm 
  8  16  0.7000   32.0    0.1132   5.246e+04  3.417e+03  Anghinolfi:1996vm 
  8  16  0.7000   32.0    0.1632   2.230e+04  2.356e+03  Anghinolfi:1996vm 
  8  16  0.7000   32.0    0.2127   1.511e+04  1.885e+03  Anghinolfi:1996vm 
  8  16  0.7000   32.0    0.2634   1.275e+04  1.767e+03  Anghinolfi:1996vm 
  8  16  0.7000   32.0    0.3127   1.593e+04  2.121e+03  Anghinolfi:1996vm 
  8  16  0.7000   32.0    0.3617   1.605e+04  2.238e+03  Anghinolfi:1996vm 
  8  16  0.7000   32.0    0.4136   1.723e+04  2.356e+03  Anghinolfi:1996vm 
  8  16  0.7000   32.0    0.4609   1.511e+04  2.710e+03  Anghinolfi:1996vm 
  8  16  0.8800   32.0    0.0129   2.568e+03  2.177e+03  Anghinolfi:1996vm 
  8  16  0.8800   32.0    0.0616   1.345e+04  1.837e+03  Anghinolfi:1996vm 
  8  16  0.8800   32.0    0.1121   2.692e+04  1.633e+03  Anghinolfi:1996vm 
  8  16  0.8800   32.0    0.1622   2.522e+04  1.224e+03  Anghinolfi:1996vm 
  8  16  0.8800   32.0    0.2121   1.372e+04  1.292e+03  Anghinolfi:1996vm 
  8  16  0.8800   32.0    0.2625   1.094e+04  1.088e+03  Anghinolfi:1996vm 
  8  16  0.8800   32.0    0.3121   1.080e+04  9.523e+02  Anghinolfi:1996vm 
  8  16  0.8800   32.0    0.3615   1.236e+04  1.088e+03  Anghinolfi:1996vm 
  8  16  0.8800   32.0    0.4116   1.345e+04  1.156e+03  Anghinolfi:1996vm 
  8  16  0.8800   32.0    0.4624   9.099e+03  1.156e+03  Anghinolfi:1996vm 
  8  16  0.8800   32.0    0.5100   8.350e+03  1.088e+03  Anghinolfi:1996vm 
  8  16  0.8800   32.0    0.5616   6.105e+03  1.020e+03  Anghinolfi:1996vm 
  8  16  0.8800   32.0    0.6121   5.289e+03  1.224e+03  Anghinolfi:1996vm 
