  Detailed A1n data
  
  W**2 > 4 GeV**2  (DIS region)
  Additional normalisation uncertainty = 4.9%.

   x     Q**2     E      A1n       Errors    
        GeV**2   Gev            stat     sys 

 0.024   0.51   16.2   -0.205   0.153   0.023   
 0.027   0.55   16.2   -0.131   0.146   0.022   
 0.027   1.17   29.1   -0.073   0.225   0.020   
 0.031   0.59   16.2   -0.048   0.144   0.020   
 0.031   1.27   29.1    0.044   0.095   0.019   
 0.035   0.31    9.7   -0.159   0.125   0.024   
 0.035   0.64   16.2   -0.097   0.139   0.018   
 0.035   1.40   29.1   -0.126   0.069   0.017   
 0.039   0.33    9.7    0.053   0.122   0.024   
 0.039   0.68   16.2    0.140   0.136   0.017   
 0.039   1.52   29.1    0.041   0.063   0.016   
 0.044   0.35    9.7   -0.106   0.126   0.025   
 0.044   0.73   16.2   -0.191   0.120   0.017   
 0.044   0.98   16.2   -2.222   2.964   0.019   
 0.044   1.65   29.1   -0.162   0.060   0.014   
 0.049   0.36    9.7    0.007   0.135   0.026   
 0.049   0.78   16.2    0.045   0.121   0.016   
 0.049   1.06   16.2   -0.321   0.646   0.018   
 0.049   1.78   29.1   -0.173   0.058   0.013   
 0.056   0.38    9.7   -0.217   0.141   0.027   
 0.056   0.57    9.7    7.031   5.978   0.020   
 0.056   0.83   16.2   -0.106   0.127   0.016   
 0.056   1.16   16.2    0.061   0.358   0.017   
 0.056   1.92   29.1   -0.095   0.058   0.012   
 0.063   0.40    9.7   -0.096   0.149   0.029   
 0.063   0.60    9.7    0.532   0.609   0.020   
 0.063   0.87   16.2   -0.064   0.135   0.016   
 0.063   1.26   16.2   -0.068   0.262   0.016   
 0.063   2.07   29.1   -0.107   0.058   0.012   
 0.063   2.69   29.1   -2.009   4.864   0.016   
 0.071   0.41    9.7    0.135   0.171   0.033   
 0.071   0.64    9.7   -0.239   0.267   0.019   
 0.071   0.92   16.2    0.026   0.145   0.017   
 0.071   1.36   16.2    0.033   0.225   0.014   
 0.071   2.22   29.1   -0.115   0.059   0.011   
 0.071   2.91   29.1   -0.267   0.353   0.015   
 0.079   0.43    9.7   -0.154   0.186   0.039   
 0.079   0.69    9.7   -0.120   0.194   0.019   
 0.079   0.97   16.2   -0.241   0.159   0.017   
 0.079   1.47   16.2   -0.437   0.212   0.014   
 0.079   2.38   29.1   -0.119   0.064   0.012   
 0.079   3.17   29.1   -0.316   0.167   0.014   
 0.090   0.44    9.7    0.000   0.193   0.046   
 0.090   0.74    9.7   -0.235   0.156   0.020   
 0.090   1.01   16.2    0.054   0.173   0.018   
 0.090   1.58   16.2    0.268   0.207   0.013   
 0.090   2.53   29.1   -0.022   0.071   0.013   
 0.090   3.48   29.1   -0.033   0.117   0.014   
 0.101   0.45    9.7    0.262   0.203   0.055   
 0.101   0.78    9.7   -0.069   0.147   0.021   
 0.101   1.06   16.2   -0.121   0.189   0.018   
 0.101   1.69   16.2    0.016   0.205   0.012   
 0.101   2.69   29.1   -0.129   0.079   0.014   
 0.101   3.79   29.1   -0.106   0.099   0.013   
 0.113   0.47    9.7   -0.226   0.215   0.064   
 0.113   0.82    9.7   -0.075   0.147   0.023   
 0.113   1.10   16.2   -0.071   0.208   0.019   
 0.113   1.80   16.2   -0.126   0.196   0.012   
 0.113   2.84   29.1   -0.103   0.088   0.016   
 0.113   4.11   29.1   -0.187   0.094   0.013   
 0.128   0.48    9.7   -0.196   0.233   0.072   
 0.128   0.86    9.7    0.193   0.152   0.026   
 0.128   1.14   16.2    0.294   0.227   0.021   
 0.128   1.91   16.2   -0.197   0.194   0.014   
 0.128   3.00   29.1    0.176   0.098   0.018   
 0.128   4.44   29.1   -0.106   0.093   0.014   
 0.144   0.90    9.7   -0.085   0.158   0.029   
 0.144   1.18   16.2    0.218   0.251   0.023   
 0.144   2.03   16.2   -0.114   0.198   0.016   
 0.144   3.15   29.1    0.064   0.109   0.020   
 0.144   4.78   29.1    0.118   0.094   0.014   
 0.162   0.93    9.7    0.027   0.166   0.033   
 0.162   1.22   16.2   -0.638   0.279   0.026   
 0.162   2.14   16.2    0.039   0.211   0.019   
 0.162   3.30   29.1   -0.112   0.124   0.021   
 0.162   5.13   29.1   -0.138   0.097   0.015   
 0.182   0.97    9.7   -0.148   0.178   0.036   
 0.182   1.25   16.2    0.198   0.315   0.029   
 0.182   2.25   16.2    0.261   0.227   0.022   
 0.182   3.45   29.1    0.013   0.140   0.023   
 0.182   5.49   29.1    0.132   0.102   0.017   
 0.205   1.00    9.7   -0.285   0.190   0.037   
 0.205   1.29   16.2    0.137   0.355   0.032   
 0.205   2.36   16.2   -0.109   0.250   0.024   
 0.205   3.59   29.1    0.032   0.160   0.025   
 0.205   5.86   29.1   -0.167   0.110   0.019   
 0.230   1.03    9.7    0.005   0.204   0.039   
 0.230   1.32   16.2   -0.123   0.401   0.035   
 0.230   2.47   16.2   -0.228   0.281   0.027   
 0.230   3.73   29.1   -0.398   0.189   0.027   
 0.230   6.23   29.1    0.067   0.123   0.022   
 0.259   1.35   16.2    0.014   0.457   0.037   
 0.259   2.57   16.2   -0.373   0.312   0.029   
 0.259   3.85   29.1   -0.529   0.225   0.029   
 0.259   6.60   29.1   -0.491   0.141   0.025   
 0.292   1.37   16.2    0.540   0.529   0.037   
 0.292   2.67   16.2    0.234   0.355   0.031   
 0.292   3.98   29.1   -0.026   0.273   0.033   
 0.292   6.97   29.1   -0.033   0.164   0.029   
 0.329   2.76   16.2    0.829   0.408   0.041   
 0.329   4.09   29.1    0.248   0.343   0.036   
 0.329   7.33   29.1    0.009   0.196   0.035   
 0.370   2.85   16.2   -0.515   0.476   0.038   
 0.370   4.20   29.1    0.469   0.443   0.040   
 0.370   7.69   29.1    0.243   0.239   0.040   
 0.416   2.93   16.2   -0.310   0.569   0.037   
 0.416   4.30   29.1   -0.020   0.588   0.043   
 0.416   8.03   29.1   -0.392   0.300   0.043   
