=============================================================

  G1p at mean Q**2 (for Q**2 > 1 GeV**2 data)
  
  W**2 > 4 GeV**2  (DIS region)
  Additional normalisation uncertainty = 3.7%.

   x       x       x      Q**2     G1p       Errors     
  min     max     mean   GeV**2           stat     sys 

 0.029   0.033   0.031    1.27    0.248   0.132   0.034 
 0.033   0.037   0.035    1.40    0.436   0.089   0.032 
 0.037   0.042   0.039    1.52    0.269   0.073   0.025 
 0.042   0.047   0.044    1.65    0.322   0.062   0.022 
 0.047   0.053   0.049    1.78    0.327   0.053   0.019 
 0.053   0.059   0.056    1.91    0.309   0.045   0.017 
 0.059   0.067   0.063    2.04    0.266   0.039   0.015 
 0.067   0.075   0.071    2.19    0.294   0.034   0.014 
 0.075   0.084   0.079    2.41    0.310   0.031   0.014 
 0.084   0.095   0.090    2.55    0.260   0.024   0.012 
 0.095   0.107   0.101    2.85    0.299   0.022   0.012 
 0.107   0.120   0.113    3.13    0.272   0.021   0.011 
 0.120   0.136   0.128    3.41    0.262   0.019   0.010 
 0.136   0.153   0.144    3.71    0.239   0.018   0.010 
 0.153   0.172   0.162    4.03    0.253   0.017   0.010 
 0.172   0.193   0.182    4.34    0.243   0.016   0.009 
 0.193   0.218   0.205    4.15    0.231   0.014   0.009 
 0.218   0.245   0.230    4.37    0.206   0.014   0.008 
 0.245   0.276   0.259    5.26    0.242   0.014   0.008 
 0.276   0.310   0.292    5.53    0.192   0.014   0.007 
 0.310   0.349   0.329    6.01    0.168   0.014   0.006 
 0.349   0.393   0.370    6.29    0.144   0.013   0.005 
 0.393   0.442   0.416    6.56    0.148   0.012   0.005 
 0.442   0.497   0.468    6.79    0.114   0.011   0.004 
 0.497   0.559   0.526    7.72    0.084   0.010   0.003 
 0.559   0.629   0.592    7.97    0.048   0.009   0.002 
 0.629   0.708   0.666    9.26    0.021   0.007   0.001 
 0.708   0.791   0.749    9.52    0.015   0.005   0.001 
